TEST ID	TEST CASE	PRE-CONDITIONS	PRECEDENCE	COMPLEXITY	PRE_CON_COUNT	WEIGHTAGE	DIFF
SIGN_UP_001	Check switch to Sign Up button	SIGN_IN_001	M	2	2	5.0	195.0
UPI_004	Test Input of Mobile Number	UPI_002	H	5	0	4.5	195.5
CONFIRM_004	Check confirmed tickets display	CONFIRM_001	H	5	0	4.5	195.5
NET_BANK_004	Check Make Payment button function	PAYMENT_OPT_003	H	5	0	4.5	195.5
UPI_007	Check Make Payment button function	UPI_002	H	5	0	4.5	195.5
UPI_005	Test Input of UPI ID	UPI_002	H	5	0	4.5	195.5
LOGIN_002	Test Login API	SIGN_IN_001	M	8	0	4.0	196.0
SIGN_UP_003	Test Sign Up API Integration	SIGN_UP_001	M	8	0	4.0	196.0
CONFIRM_003	Check confirmed showtime display	CONFIRM_001	H	4	0	3.6	196.4
UPI_006	Test Input of Bank Name	UPI_002	H	4	0	3.6	196.4
MOB_WALLET_004	Check Make Payment button function	MOB_WALLET_002	H	4	0	3.6	196.4
CATEGORY_002	Test Category change while search	SEARCHBAR_001	M	7	0	3.5	196.5
PAY_PORTAL_004	Test redirect on cancelled transaction	PAY_PORTAL_002	M	7	0	3.5	196.5
CONFIRM_007	Check confirmed Booking ID display	CONFIRM_001	M	7	0	3.5	196.5
PAY_BUTTON_001	Check display of Pay button 	SEATS_003	L	1	3	3.1	196.9
CONFIRM_009	Test SMS of confirmation	PAY_PORTAL_002	M	6	0	3.0	197.0
CONFIRM_008	Test Mail of confirmation	PAY_PORTAL_002	M	6	0	3.0	197.0
HOME_002	Test load of Home Page after City Icon Choice	SELECT_CITY_001	M	6	0	3.0	197.0
NET_BANK_002	Test make choice of Bank from icon	PAYMENT_OPT_003	M	6	0	3.0	197.0
HOME_003	Test load of Home Page after City Search Choice	SELECT_CITY_002	M	6	0	3.0	197.0
PAYMENT_OPT_002	Test choice of Payment method	PAY_INIT_001	M	6	0	3.0	197.0
LOAD_002	Test Page Reload without crashes	None	H	3	0	2.7	197.3
VOUCHER_001	Test Voucher input	PAYMENT_OPT_003	M	5	0	2.5	197.5
NET_BANK_003	Test make choice of Bank from list	PAYMENT_OPT_003	M	5	0	2.5	197.5
CARD_001	Test input of Card Details	PAYMENT_OPT_003	M	5	0	2.5	197.5
HOME_004	Test load of Home Page after Region List Choice	SELECT_CITY_003	M	5	0	2.5	197.5
SESSION_001	Check display of Session Timer	PAY_INIT_001	L	2	1	2.2	197.8
CONFIRM_005	Check QR code generation	CONFIRM_001	M	4	0	2.0	198.0
BOOK_TICKETS_001	Test Book Ticket button Functionality	MOVIE_LOAD_001	M	4	0	2.0	198.0
TICKET_AMOUNT_001	Test display of Payable amount	PAY_INIT_001	M	4	0	2.0	198.0
UPI_003	Test choice of Other UPI option	UPI_001	M	4	0	2.0	198.0
PAYMENT_OPT_001	Test display of Payment methods	PAY_INIT_001	M	4	0	2.0	198.0
NET_BANK_001	Test display of Bank Options	PAYMENT_OPT_003	M	3	0	1.5	198.5
BOOK_EVENT_002	Check view of Ticket prices	BOOK_EVENT_001	M	3	0	1.5	198.5
MOB_WALLET_001	Check dispaly of mobile wallet options	PAYMENT_OPT_003	M	3	0	1.5	198.5
EVENT_DETAIL_002	Check view of Event details	EVENT_DETAIL_001	M	3	0	1.5	198.5
HOME_006	Test load of Home Page after Category choice	CATEGORY_001	M	3	0	1.5	198.5
SESSION_005	Test Timer reset	SESSION_001	M	3	0	1.5	198.5
SESSION_004	Test Start Again button function	SESSION_003	M	3	0	1.5	198.5
SESSION_003	Check display of Timeout Message	SESSION_002	M	1	1	1.5	198.5
SEARCHBAR_004	Test Search Results based on chosen Category	CATEGORY_001	M	3	0	1.5	198.5
SEARCHBAR_002	Check Return back to Home	SEARCHBAR_001	M	2	0	1.0	199.0
MOVIE_DETAILS_001	Check view of Details of a Movie	MOVIE_LOAD_001	M	2	0	1.0	199.0
VOUCHER_002	Check Apply button	PAYMENT_OPT_003	M	2	0	1.0	199.0
MOVIE_DETAILS_002	Check view of Rating of a Movie	MOVIE_LOAD_001	M	2	0	1.0	199.0
RECOMMEND_002	Test change of Recommendation after Category	CATEGORY_001	L	8	0	0.8	199.2
EVENT_DETAIL_003	Test Event venue map function	EVENT_DETAIL_001	L	6	0	0.6000000000000001	199.4
MOB_WALLET_003	Check code display	MOB_WALLET_002	L	6	0	0.6000000000000001	199.4
RECOMMEND_003	Test Filters in Recommended list	RECOMMEND_001	L	5	0	0.5	199.5
CONFIRM_006	Check QR code display	CONFIRM_001	M	1	0	0.5	199.5
TICKET_DETAILS_001	Test dispaly of Ticket Details	PAY_INIT_001	L	3	0	0.30000000000000004	199.7
LOAD_003	Test 404 Error for Invalid URL in domain	None	L	3	0	0.30000000000000004	199.7
SHOWTIME_003	Test display of Showtime selected	PAY_INIT_001	L	2	0	0.2	199.8
LOGIN_003	Check switch to Login Button	SIGN_IN_001	L	2	0	0.2	199.8
HOME_005	Test Return to Home Page on Logo Click	HOME_001	L	2	0	0.2	199.8
HELP_001	Test help link functionality	HOME_001	L	2	0	0.2	199.8
